"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"85",110,11004,"8600000US11004","ZCTA5 11004",15151,2154,5252,1113,100,5832,42,56,602,44.5,971,758,427,584,1080,2388,1468,1934,1293,1343,1306,910,689,5026,122,99,212,334,398,796,798,1129,733,405,93315,107832,36081,"Glen Oaks","Queens","QUEENS",0.516,15151,0.0734604976569203,0.65335621411128,0.142168833740347,0.0861520095503382,11004
"86",111,11005,"8600000US11005","ZCTA5 11005",1762,18,1722,0,0,0,0,0,22,83.1,0,0,0,0,0,0,0,111,24,53,252,555,767,1306,34,186,106,106,172,317,127,115,68,75,51801,75327,36081,"Floral Park","Queens","QUEENS",0.368,1762,0,0.0227014755959137,0.0102156640181612,0.249617151607963,11005
"87",112,11040,"8600000US11040","ZCTA5 11040",42140,5008,18649,574,51,16364,80,525,889,43,2276,2527,2459,2543,2525,4626,5080,6597,2918,2896,4042,2265,1386,12862,244,115,614,551,934,1433,1274,2962,2060,2675,118457,144076,36081,"New Hyde Park","Queens","QUEENS",0.637,42140,0.0136212624584718,0.557451352634077,0.118841955386806,0.0756491991914166,11040
"88",113,11101,"8600000US11101","ZCTA5 11101",28852,7936,9631,4243,55,5896,40,316,735,34.8,1836,1286,1128,1229,1973,7136,5082,3703,1314,1490,1604,767,304,12474,1031,1065,1250,1009,1217,1683,996,1727,1015,1481,57866,95879,36081,"Long Island City","Queens","QUEENS",0.526,28852,0.147060862331901,0.666192984888396,0.275058921391931,0.268237934904602,11101
"89",114,11102,"8600000US11102","ZCTA5 11102",33727,10211,14111,3271,25,5482,25,138,464,33.3,1776,1180,1320,1460,2450,9842,4806,4015,1650,1504,2299,861,564,13627,940,459,1505,1196,1661,2323,1549,2235,874,885,60436,82508,36081,"Astoria","Queens","QUEENS",0.432,33727,0.0969846117354049,0.581611172057995,0.302754469712693,0.213106333015337,11102
"90",115,11103,"8600000US11103","ZCTA5 11103",38036,8954,21627,690,15,5752,46,64,888,33.8,1844,1071,1282,1206,2762,11967,5821,4111,2048,1554,2290,1575,505,16113,939,542,1504,1251,1974,2782,2414,2656,1284,767,65229,81512,36081,"Astoria","Queens","QUEENS",0.417,38036,0.0181407088021874,0.431407088021874,0.235408560311284,0.185254142617762,11103
"91",116,11104,"8600000US11104","ZCTA5 11104",25725,7917,11648,270,0,5368,0,66,456,38.6,1261,1075,918,871,1163,5613,5177,3395,1273,1691,1837,1195,256,11412,524,611,997,965,1527,2169,1622,1660,654,683,63122,80386,36081,"Sunnyside","Queens","QUEENS",0.408,25725,0.0104956268221574,0.547210884353742,0.307755102040816,0.186820890290922,11104
"92",117,11105,"8600000US11105","ZCTA5 11105",37288,7963,22640,799,99,5020,0,61,706,35.1,1924,1437,1186,1190,2478,10326,5601,4766,2105,1634,2215,1651,775,15227,900,424,1126,1336,1666,2771,1814,3096,1066,1028,68050,88855,36081,"Astoria","Queens","QUEENS",0.451,37288,0.0214278051920189,0.392834155760566,0.21355395837803,0.160898404150522,11105
"93",118,11106,"8600000US11106","ZCTA5 11106",40111,11753,15872,2334,38,8434,0,571,1109,35.6,1841,1840,1445,1257,2246,10732,7339,4529,1853,1812,2946,1423,848,17127,1217,956,1660,1462,2160,2706,2224,2791,1017,934,60725,78578,36081,"Astoria","Queens","QUEENS",0.413,40111,0.0581885268380245,0.604298072847847,0.293011891999701,0.223798680446079,11106
"94",119,11109,"8600000US11109","ZCTA5 11109",5298,351,3142,212,0,1328,0,29,236,31.5,473,129,15,43,169,2542,1236,436,95,104,28,28,0,2891,165,14,20,44,69,242,337,676,391,933,137452,167536,36081,"Long Island City","Queens","QUEENS",0.708,5298,0.0400151000377501,0.406946017365043,0.0662514156285391,0.0688343133863715,11109
"95",120,11201,"8600000US11201","ZCTA5 11201",61907,7627,36220,7774,21,7204,59,167,2835,35,4758,2615,1833,2419,3627,15644,11173,7282,2737,2770,3773,2036,1240,26923,1468,841,1470,1185,1709,2257,2632,4645,3502,7214,116446,176189,36047,"Brooklyn","Brooklyn","BRONX",0.677,61907,0.12557545996414,0.414928844880224,0.1232009304279,0.140363258180738,11201
"96",121,11203,"8600000US11203","ZCTA5 11203",75989,4699,2818,65818,75,1309,0,150,1120,39.5,4363,4593,4389,4683,5244,10486,9625,9799,5227,4418,7155,4401,1606,27464,2468,1620,3151,2956,3970,4736,3226,3553,968,816,48140,63181,36047,"Brooklyn","Brooklyn","BRONX",0.318,75989,0.866151679848399,0.962915685164958,0.0618378975904407,0.263581415671424,11203
"97",122,11204,"8600000US11204","ZCTA5 11204",80056,8330,44299,818,124,25131,0,227,1127,34.4,7226,6340,5835,4760,4293,12175,10447,8567,4717,4654,5879,3124,2039,24243,1764,1900,3132,2505,3293,3862,2658,2719,1262,1148,47341,69520,36047,"Brooklyn","Brooklyn","BRONX",0.367,80056,0.0102178475067453,0.446649845108424,0.10405216348556,0.280328342201873,11204
