,latlon,zip_code
278091,"40.655193,-73.95006",11226
278849,"40.647114,-73.96168",11226
279608,"40.64193,-73.95841",11226
280368,"40.85358,-73.932236",10033
281129,"40.84518,-73.91417",10452
281891,"40.767532,-73.953255",10021
282654,"40.632294,-73.96678",11230
283418,"40.665718,-73.95687",11225
284183,"40.81728,-73.938545",10037
284949,"40.774357,-73.912865",11105
285716,"40.750732,-73.87312",11372
286484,"40.755505,-73.86816",11368
287253,"40.67887,-73.92165",11233
288023,"40.66423,-73.919106",11212
288794,"40.764637,-73.93226",11106
289566,"40.83836,-73.91271",10456
290339,"40.755825,-73.903404",11377
291113,"40.67871,-73.86701",11208
291888,"40.778797,-73.98206",10023
292664,"40.626495,-74.160255",10303
293441,"40.644722,-73.96122",11226
294219,"40.714073,-73.95534",11211
294998,"40.666428,-73.93691",11213
295778,"40.854916,-73.93604",10033
296559,"40.57892,-73.97497",11224
297341,"40.762978,-73.83198",11354
298124,"40.681137,-73.95567",11238
298908,"40.687943,-73.98141",11217
